mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_reg_lambda,param_reg_alpha,param_num_leaves,param_min_child_samples
0.5333042621612549,0.0231532060728645,0.019775009155273436,0.0024779154916783224,0.9,200,3.0,7,0.2,0.0,0.6,"{'subsample': 0.9, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.6}",0.936278726377231,0.9407388504024312,0.9667590765600359,0.9695817619985743,0.9636921352002147,0.9554101101076974,0.013996302377894721,1,XGBoost,,,,
1.8410542964935304,0.08509362945663879,0.012120246887207031,0.0015758406809682143,0.8,200,3.0,5,0.2,0.1,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.9404963852856548,0.9379113711498247,0.962412530146293,0.973949692011366,0.9608039122526408,0.9551147781691558,0.013784281145945385,2,XGBoost,,,,
0.7589211940765381,0.03997118124982313,0.025300931930541993,0.002647496918720059,0.8,300,5.0,7,0.15,0.0,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.15, 'gamma': 0, 'colsample_bytree': 0.8}",0.9377407146813246,0.9392900683059652,0.9624474626158318,0.9696222532285912,0.9636660961933031,0.9545533190050032,0.013327141299716669,3,XGBoost,,,,
0.7332059860229492,0.02291885971759833,0.015475177764892578,0.00418337220959685,0.8,400,3.0,7,0.1,0.3,0.7,"{'subsample': 0.8, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.937739405056865,0.9350552824966981,0.9623671644354034,0.9710916736362648,0.9622912198749325,0.9537089491000328,0.014517333029485165,4,XGBoost,,,,
0.5794156074523926,0.02368503708356108,0.016649627685546876,0.0021653127239705597,1.0,200,3.0,7,0.1,0.0,1.0,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",0.9406333533415099,0.9335608038938114,0.9581324730921711,0.969595260344159,0.9608121834777182,0.952546814829874,0.013360872482442932,5,XGBoost,,,,
0.4425985813140869,0.02072333513236482,0.010846662521362304,0.0014676600428352939,0.7,200,3.0,4,0.15,0.1,1.0,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.15, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.9376887677242548,0.9436704318706841,0.955246090549935,0.962448716173251,0.9593649499258449,0.951683791248794,0.009462012423763632,6,XGBoost,,,,
0.5710480690002442,0.014312334270533507,0.015529680252075195,0.004545831508985998,0.7,200,3.0,7,0.05,0.3,0.7,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.9422374588309618,0.9336611661173384,0.9551976486299326,0.9624692452923974,0.9594401183805156,0.9506011274502292,0.010927225004267939,7,XGBoost,,,,
0.9448950290679932,0.0375938260503826,0.025328540802001955,0.002842613215509016,0.7,500,7.0,6,0.1,0.2,0.6,"{'subsample': 0.7, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.6}",0.9318336613865718,0.9393846495711632,0.9538049133377596,0.9667544129615995,0.9578896068166455,0.949933448814748,0.012650003896919402,8,XGBoost,,,,
2.302563524246216,0.11812175370432079,0.03333725929260254,0.008605118298864763,0.6,300,5.0,6,0.05,0.0,0.6,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.9392791627470235,0.9322185061315497,0.9508904734886697,0.9653518437153371,0.9579451754110925,0.9491370322987345,0.012058127301854097,9,XGBoost,,,,
0.44356703758239746,0.023829200792891678,0.015020036697387695,0.0010443034189510062,0.6,200,7.0,7,0.2,0.2,0.8,"{'subsample': 0.6, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 7, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.9363326699897833,0.9379833190801804,0.9566897179621785,0.9580627510627696,0.9564434691827457,0.9491023854555316,0.00978209125706155,10,XGBoost,,,,
24.665270948410033,1.0082403393464343,0.014518404006958007,0.008859922319944627,0.9,300,,6,0.2,,0.6,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 63, 'n_estimators': 300, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 0.6}",0.9565974689342304,0.9550743932991853,0.9681787924666164,0.9724972370103369,0.9694998991732203,0.964369558176718,0.007123135392955769,1,LightGBM,0.0,0.0,63.0,10.0
34.34903287887573,0.9436505872401528,0.014548921585083007,0.0009118569531217898,0.6,500,,6,0.15,,0.7,"{'subsample': 0.6, 'reg_lambda': 0.01, 'reg_alpha': 0, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 6, 'learning_rate': 0.15, 'colsample_bytree': 0.7}",0.9493762284516508,0.9507657048060757,0.9725412026347707,0.9710692380009961,0.9651985661147612,0.961790188001651,0.009888859866864252,2,LightGBM,0.01,0.0,31.0,10.0
14.41912350654602,0.28285746586943855,0.008379173278808594,0.00040880855591940207,1.0,300,,6,0.15,,0.7,"{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'num_leaves': 15, 'n_estimators': 300, 'min_child_samples': 5, 'max_depth': 6, 'learning_rate': 0.15, 'colsample_bytree': 0.7}",0.9566245290087277,0.9435663128737836,0.9740181835223544,0.9681584317973172,0.9651831551934373,0.961510122479124,0.010582930632699562,3,LightGBM,0.01,0.01,15.0,5.0
27.172020292282106,2.055683019978021,0.012366771697998047,0.007904343337634468,0.9,500,,-1,0.1,,0.6,"{'subsample': 0.9, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 5, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",0.9493762284516508,0.9464525655596733,0.9682002895356155,0.9738929087513242,0.9680602553461529,0.9611964495288833,0.011085715337643942,4,LightGBM,0.01,0.01,63.0,5.0
36.70972599983215,1.5653616866054265,0.01133556365966797,0.0009227352889634678,0.6,300,,7,0.05,,0.6,"{'subsample': 0.6, 'reg_lambda': 0, 'reg_alpha': 0.01, 'num_leaves': 63, 'n_estimators': 300, 'min_child_samples': 5, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.9479203492137561,0.9450452065017197,0.9696317080719412,0.9739583494587535,0.9637783602103059,0.9600667946912953,0.011588121762516009,5,LightGBM,0.0,0.01,63.0,5.0
22.42135124206543,1.7365765936515016,0.009324598312377929,0.0007018689122040175,0.6,300,,-1,0.2,,0.6,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'num_leaves': 127, 'n_estimators': 300, 'min_child_samples': 30, 'max_depth': -1, 'learning_rate': 0.2, 'colsample_bytree': 0.6}",0.9450421692056534,0.9464525655596733,0.9653347397686005,0.9710430483887137,0.9709974657499457,0.9597739977345172,0.011647891791243821,6,LightGBM,1.0,0.1,127.0,30.0
37.66529622077942,1.7064739680097236,0.014216852188110352,0.0027555464584290887,0.9,500,,7,0.05,,0.7,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'num_leaves': 127, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.9537145826820136,0.9420956475723209,0.9639037710705801,0.9696037119943197,0.9666373058306718,0.9591910038299811,0.010082901110607648,7,LightGBM,1.0,0.1,127.0,10.0
10.439557838439942,0.28886912021751165,0.006369400024414063,0.000378290590451814,0.6,300,,5,0.1,,0.9,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'num_leaves': 31, 'n_estimators': 300, 'min_child_samples': 30, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.952229952103632,0.9364067776765039,0.9667590433284111,0.9753951256962142,0.9623205128473543,0.9586222823304231,0.013383591415048163,8,LightGBM,1.0,0.01,31.0,30.0
24.512903356552123,0.3613624403340902,0.009575080871582032,0.0009606036501961085,0.7,300,,7,0.15,,1.0,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'num_leaves': 31, 'n_estimators': 300, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.15, 'colsample_bytree': 1.0}",0.9479538982014182,0.9393194704224127,0.9697188526401846,0.966697269951066,0.9680422581710135,0.958346349877219,0.012354007580026008,9,LightGBM,1.0,0.01,31.0,20.0
27.295359897613526,0.7106159644958333,0.012409830093383789,0.0007439617193167504,1.0,500,,5,0.15,,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'num_leaves': 127, 'n_estimators': 500, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.15, 'colsample_bytree': 1.0}",0.9493469849850408,0.9407001905814069,0.9682228510770129,0.9725182639199522,0.9608050324178236,0.9583186645962473,0.011805127846842301,10,LightGBM,1.0,0.01,127.0,10.0
